Sample ID; Description
PETIT_23; zeroair1
PETIT_24; Blanc01
PETIT_25; Blanc02
PETIT_26; RCC9511_A_DM
PETIT_27; RCC0156_A_DM
PETIT_28; RCC2379_A_DM
PETIT_29; RCC2919_A_D2
PETIT_30; RCC2374_A_DX
PETIT_31; RCC0156_A_D2
PETIT_32; RCC1717_A_DM
PETIT_33; RCC9511_2319_C
PETIT_34; RCC1717_3006_Ca
PETIT_35; RCC3006_1717_Cb
PETIT_36; RCC1717_9511_C
PETIT_37; RCC2319_9511_C
PETIT_38; Blanc03
PETIT_39; RCC2379_B_DM
PETIT_40; RCC9511_B_DM
PETIT_41; RCC9511_B_D2
PETIT_42; RCC3006_B_DM
PETIT_43; RCC1717_B_DM
PETIT_44; RCC4213_B_DM
PETIT_45; RCC2379_B_D2
PETIT_46; RCC0076_B_D0
PETIT_47; RCC2374_B_DM
PETIT_48; RCC2319_2717_C
PETIT_49; RCC9511_1717_C
PETIT_50; RCC1717_2319_C
PETIT_51; Blanc04
PETIT-52; RCC1717_B_D
PETIT-53; RCC156_B_D2
PETIT-54; RCC2319_B_D2
PETIT-55; RCC76_B_DM
PETIT-56; Blanc05
PETIT-57; Zeroair2
